Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

1512	327	335	4
1513	355	337	4
1514	284	340	4
1515	336	342	4
1516	412	345	4
1517	382	347	4
1518	342	349	4
1519	326	351	4
1520	286	353	4
1521	337	355	4
1522	348	357	4
1523	393	359	4
1524	376	361	4
1525	280	362	4
1526	426	364	4
1527	333	365	4
1528	313	367	4
1529	406	368	4
1530	295	369	4
1531	407	370	4
1532	356	371	4
1533	371	372	4
1534	413	373	4
1535	396	374	4
1536	304	374	4
1537	392	375	4
1538	396	375	4
1539	357	376	4
1540	400	376	4
1541	345	376	4
1542	450	376	4
1543	343	376	4
1544	333	376	4
1545	453	376	4
1546	294	375	4
1547	366	375	4
1548	427	374	4
1549	383	374	4
1550	368	373	4
1551	340	372	4
1552	352	371	4
1553	394	370	4
1554	349	369	4
1555	437	368	4
1556	358	366	4
1557	323	365	4
1558	434	364	4
1559	357	362	4
1560	312	360	4
1561	480	359	4
1562	323	357	4
1563	421	355	4
1564	336	353	4
1565	345	351	4
1566	364	349	4
1567	395	347	4
1568	286	344	4
1569	368	342	4
1570	328	340	4
1571	301	337	4
1572	372	334	4
1573	303	332	4
1574	415	329	4
1575	323	326	4
1576	242	324	4
1577	375	321	4
1578	278	318	4
1579	302	315	4
1580	358	312	4
1581	315	309	4
1582	324	306	4
1583	265	302	4
1584	270	299	4
1585	312	296	4
1586	288	293	4
1587	333	289	4
1588	256	286	4
1589	259	283	4
1590	338	279	4
1591	247	276	4
1592	242	272	4
1593	301	269	4
1594	239	265	4
1595	306	262	4
1596	275	258	4
1597	292	255	4
1598	232	251	4
1599	281	247	4
1600	208	244	4
1601	221	240	4
1602	220	237	4
1603	262	233	4
1604	254	230	4
1605	217	226	4
1606	279	222	4
1607	179	219	4
1608	185	215	4
1609	249	212	4
1610	158	208	4
1611	220	205	4
1612	219	201	4
1613	201	198	4
1614	189	194	4
1615	161	191	4
1616	173	187	4
1617	202	184	4
1618	172	180	4
1619	190	177	4
1620	177	174	4
1621	145	170	4
1622	178	167	4
1623	121	164	4
1624	166	161	4
